[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]	[1,9]#[-0.0010670662159100175,0.00631906371563673,0.5468119978904724,0.15017203986644745,-0.550000011920929,-0.29952025413513184,-0.6026210784912109,0.036881349980831146,-0.4002796411514282]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]	[1,9]#[-1.1013031005859375,-1.1521484851837158,-0.20693686604499817,-1.2000000476837158,0.15818196535110474,-1.094335913658142,-0.16990748047828674,-1.1023437976837158,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0]	[1,9]#[-0.875,-1.1164062023162842,0.6830394268035889,-1.039453148841858,-1.15625,-0.949999988079071,-0.72380530834198,0.0,-1.1384766101837158]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0]	[1,9]#[-0.15000000596046448,-0.15000000596046448,-0.25,0.675000011920929,0.0,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0]	[1,9]#[0.3812499940395355,0.07499999552965164,0.5249999761581421,-1.2000000476837158,0.44999998807907104,0.0,-0.550000011920929,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0]	[1,9]#[-1.231347680091858,-1.162237524986267,-1.1404411792755127,-1.1605082750320435,0.6702743172645569,-1.1872069835662842,0.0,-1.2999999523162842,-1.1667969226837158]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0]	[1,9]#[-0.22499999403953552,-0.550000011920929,-0.38749998807907104,-0.6000000238418579,0.82666015625,0.0,0.0,-0.550000011920929,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0]	[1,9]#[-1.2000000476837158,-0.824999988079071,-0.7953125238418579,0.565625011920929,-0.75,-0.8125,0.0,0.0,-0.7250000238418579]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]	[1,9]#[-1.2000000476837158,-0.6000000238418579,0.793749988079071,0.0,0.0,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0]	[1,9]#[0.3499999940395355,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0]	[1,9]#[0.699999988079071,-1.100000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]	[1,9]#[-1.144140601158142,-0.731249988079071,-1.2999999523162842,-0.9749999642372131,-0.018261725082993507,0.0,-0.267019659280777,0.11250000447034836,-1.1124999523162842]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0]	[1,9]#[-0.4000000059604645,0.6234375238418579,-0.19999998807907104,0.0,0.0,0.0,0.0,0.3499999940395355,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0]	[1,9]#[0.0,0.0,0.0,0.75,0.0,0.0,-0.550000011920929,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0]	[1,9]#[0.0,0.0,-1.100000023841858,0.0,0.4000000059604645,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]	[1,9]#[0.0,0.0,0.0,0.780468761920929,0.0,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0]	[1,9]#[0.0,0.0,0.8999999761581421,0.0,0.0,0.0,0.0,0.0,0.0]
